from_genius_id,to_genius_id,type
724006,1995567,samples
4343705,3709290,interpolates
4343705,3220856,interpolates
3242364,2597650,interpolates
8692081,71518,samples
8521277,8037591,interpolates
4876732,521213,samples
8463823,7214551,interpolates
8124910,387695,interpolates
7980594,8742360,interpolates
8719684,3584563,interpolates
8720798,5655692,interpolates
8701915,118904,interpolates
8490754,1782059,interpolates
8490754,3897728,interpolates
8764192,8718975,samples
8735938,5397,samples
8779647,1783318,interpolates
8763573,146443,samples
8763573,72118,samples
8763573,8344739,interpolates
8763573,65489,interpolates
8763573,65315,interpolates
8763574,5175450,samples
8763574,6137952,samples
8763574,5427,interpolates
8763574,6372028,interpolates
5457554,4708314,interpolates
8763575,8344739,samples
8763575,1873008,interpolates
8763510,1689244,samples
8763510,8105406,samples
8763510,370508,samples
8763510,386138,samples
8763510,5353419,interpolates
8763510,4544031,interpolates
8763512,7554838,samples
8543487,813711,samples
8706227,3604175,interpolates
8706126,6134127,interpolates
8706129,3632242,interpolates
8555109,495107,samples
64576,87577,interpolates
8535472,7464551,samples
8535472,3317482,interpolates
8535472,4175,interpolates
8240927,7802828,interpolates
5199814,410195,samples
3452993,4999,samples
7245399,4155494,interpolates
3047138,100695,samples
3047138,3032843,samples
3047138,7463354,interpolates
3047138,3302870,interpolates
8781485,703741,interpolates
8781485,4087710,interpolates
5053007,3209334,interpolates
5053007,54472,interpolates
5053007,2396302,interpolates
105686,32810,interpolates
51110,7682024,samples
51110,1320,samples
51110,51112,interpolates
51110,1943,interpolates
51110,4634,interpolates
1463,52968,interpolates
8793215,2011127,samples
1517,1832231,samples
1517,1807,interpolates
1517,104954,interpolates
7947560,852,interpolates
8778667,6591973,interpolates
8296152,2836149,interpolates
8845907,4779329,interpolates
6713449,5301990,interpolates
6713449,8098351,interpolates
1629,6475781,samples
1629,7715372,interpolates
1629,6928198,interpolates
1629,11315204,interpolates
2378935,62037,samples
2378935,783122,samples
2378935,299152,samples
89794,6634556,interpolates
731783,8621741,interpolates
8598573,3517998,interpolates
59662,7319477,interpolates
59662,2241575,interpolates
97149,2912,samples
97149,1152123,interpolates
97149,6822576,interpolates
6386251,11262934,samples
4212064,8748152,samples
8730707,8801750,interpolates
74,6117866,samples
74,283,interpolates
2398213,2428022,samples
2398213,5448764,interpolates
2398213,2463684,interpolates
110417,7081344,interpolates
2175,6908882,interpolates
8801057,8035146,interpolates
6537786,502365,samples
6537786,2179697,interpolates
532,1239,interpolates
134525,2950357,samples
134525,7715541,interpolates
6017393,2030298,samples
6017393,10474190,samples
8806705,1386067,samples
8782178,13152,samples
8733311,980437,samples
8733311,5931,interpolates
8651312,6072490,interpolates
1316,1709279,interpolates
8806121,1797,samples
8122053,3290349,samples
8122053,982873,samples
8806118,352608,interpolates
8400049,1005020,samples
8798813,641385,interpolates
8798813,7499070,interpolates
8829528,3788041,interpolates
8829528,4591643,interpolates
8621374,3965734,samples
8821223,464169,samples
2911564,3902358,interpolates
183889,3197431,samples
8832404,813711,samples
8814560,354737,samples
8779342,119576,samples
8779342,119576,interpolates
8779345,737615,interpolates
8779345,2901106,interpolates
8779346,5669,interpolates
8779350,8844071,samples
8779340,7971544,samples
8779340,8616822,samples
8832304,2450753,samples
8820218,2981206,interpolates
8832857,32426,interpolates
8705220,7010507,interpolates
8817743,8782564,interpolates
8814241,118064,samples
8845819,5528,interpolates
8696611,2545,samples
8696611,7634745,interpolates
8696611,7942248,interpolates
8869755,5597721,interpolates
100024,709796,samples
8436680,6642461,interpolates
8711231,8539145,samples
8020703,7131186,interpolates
8837446,4839107,interpolates
8664613,9759305,interpolates
8850954,5695,samples
8850954,95364,samples
8285162,712991,samples
8849787,2209178,interpolates
8856881,2292971,interpolates
8504327,573890,samples
8847169,2895048,interpolates
8855532,129806,samples
8855532,1360,interpolates
8814263,776750,samples
8855434,199794,samples
8855434,584789,interpolates
5273521,11260151,samples
5273521,802541,interpolates
5273521,3949189,interpolates
8872561,8918215,samples
4437567,3095180,samples
8779727,440618,interpolates
8482044,2951091,samples
8860164,8867801,interpolates
8221503,4497,samples
8844248,6375407,samples
4684527,669606,samples
4684527,9612455,samples
8852154,732801,samples
8301957,308,samples
8301957,5988390,interpolates
77825,1798,samples
77825,1213421,samples
8723233,3348293,interpolates
8877289,1646868,samples
8870631,135441,samples
8718879,70874,interpolates
5468565,5160851,interpolates
8723235,8907704,samples
8114237,1227098,samples
3709610,9074186,samples
8728434,8595651,interpolates
8728434,8296605,interpolates
8728434,6616087,interpolates
4712978,10779167,interpolates
8901050,1684,interpolates
191,33051,samples
191,67366,samples
191,3218948,interpolates
8136104,4705999,samples
8921051,90478,interpolates
8921051,39273,interpolates
8921051,1798,interpolates
8921051,2430486,interpolates
8915216,4061276,samples
8815473,1216607,interpolates
8815473,5217557,interpolates
8830867,2818003,samples
8363765,1960617,interpolates
8856240,8856222,interpolates
8925086,1577797,samples
8868847,8219851,interpolates
8931329,233,samples
8946526,201919,samples
8959142,6901251,samples
8726647,6044388,samples
8903975,4176,samples
8903975,4176,interpolates
8704935,8680466,interpolates
8726657,2169029,samples
8945880,371532,interpolates
8519659,3033836,samples
8902635,4611729,interpolates
8902648,1090301,interpolates
8852382,6911769,interpolates
8965212,8966509,samples
8965212,133413,interpolates
7873070,2177834,interpolates
8849864,6886587,interpolates
8849864,8982563,interpolates
8970650,133416,interpolates
8970650,6942367,interpolates
8970650,6942368,interpolates
8970617,8970699,samples
8970610,277648,samples
8970610,8974152,samples
8970649,3608083,samples
8970649,7980924,interpolates
6936610,2416789,samples
8924762,11186806,samples
8924762,7361404,interpolates
6912242,8575131,samples
6912242,7220519,samples
6912242,6953314,samples
6912242,6953378,samples
6912242,6953378,interpolates
6912242,745210,interpolates
6912242,4544033,interpolates
6912242,3146669,interpolates
8723975,2177834,samples
70085,5998544,interpolates
8956548,3741963,samples
3790789,1628,samples
8965355,4159134,samples
8965355,23066,samples
8965355,1398,samples
8965355,5103,samples
8965355,4152,samples
8965355,31311,samples
8965355,26361,samples
8965355,21392,samples
8965355,78107,samples
8965355,704,samples
8965355,79,samples
8965355,3650,samples
8965355,8560003,samples
4595372,1625628,interpolates
4595372,3399990,interpolates
6621035,51128,samples
6621035,1639855,interpolates
6621035,5864968,interpolates
6621035,56902,interpolates
6621035,1844,interpolates
8946746,291465,interpolates
8946746,6437937,interpolates
8946746,90478,interpolates
8938905,2912,interpolates
8955184,9217411,interpolates
8958775,523348,interpolates
8983823,9092974,samples
8983823,2313231,interpolates
8915161,3149739,samples
8915161,2017546,samples
98603,3243,interpolates
8833093,8724369,samples
3028662,9102897,interpolates
3028662,217268,interpolates
3028662,2463403,interpolates
3028662,58665,interpolates
6833653,4863123,samples
6833653,9832008,samples
6833653,703732,interpolates
6591973,8454535,interpolates
6591973,7808666,interpolates
52848,813466,samples
52848,429319,samples
8570230,2836141,interpolates
8969996,796812,interpolates
4544030,4593675,samples
4544030,232134,interpolates
21569,6344,interpolates
8674326,5644,interpolates
9015956,132134,interpolates
8934696,1728378,interpolates
8895650,1818291,interpolates
9006073,51326,interpolates
8942776,282653,samples
8843898,1412050,samples
8843898,9084011,interpolates
8843898,9525502,interpolates
3427566,722263,interpolates
3427566,1629,interpolates
7231233,1058420,interpolates
145937,1572053,interpolates
8370456,239378,interpolates
