index_from,spotifyId_from,trackName_from,artistName_from,releaseDate_from,geniusId_from,geniusTrackName_from,geniusArtistName_from,geniusReleaseDate_from,trackLanguage_from,from_genius_id,to_genius_id,type,index_to,spotifyId_to,trackName_to,artistName_to,releaseDate_to,geniusId_to,geniusTrackName_to,geniusArtistName_to,geniusReleaseDate_to,trackLanguage_to
89.0,spotify:track:5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,2020-03-20,4694697,Save Your Tears,The Weeknd,2020-03-20,en,4694697,4759464,interpolates,,,,,,4759464,Circles,Post Malone,2019-08-30,en
89.0,spotify:track:5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,2020-03-20,4694697,Save Your Tears,The Weeknd,2020-03-20,en,4694697,1542695,interpolates,,,,,,1542695,Words,F.R. David,1982-01-01,
91.0,spotify:track:0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,2018-04-19,3422526,lovely,Billie Eilish & Khalid,2017-08-11,en,3422526,9218269,samples,,,,,,9218269,DmC preorder,Billie Eilish,2023-06-11,
91.0,spotify:track:0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,2018-04-19,3422526,lovely,Billie Eilish & Khalid,2017-08-11,en,3422526,8044978,samples,,,,,,8044978,Love & Dior,B Roue (Ft. Lu Tayo),2022-05-30,
91.0,spotify:track:0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,2018-04-19,3422526,lovely,Billie Eilish & Khalid,2017-08-11,en,3422526,2900891,interpolates,,,,,,2900891,SleepMode,BONES,2016-11-05,
95.0,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),Drake,2022-06-17,8110900,Jimmy Cooks,Drake,2022-06-17,en,8110900,8137430,samples,,,,,,8137430,You Were Gone,Brook Benton,1976-01-01,
95.0,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),Drake,2022-06-17,8110900,Jimmy Cooks,Drake,2022-06-17,en,8110900,913130,samples,,,,,,913130,Just Awaken Shaken,Playa Fly,1995-01-01,
95.0,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),Drake,2022-06-17,8110900,Jimmy Cooks,Drake,2022-06-17,en,8110900,1829067,samples,,,,,,1829067,Blaze Up Anotha One,Gangsta Blac,1996-11-12,
95.0,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),Drake,2022-06-17,8110900,Jimmy Cooks,Drake,2022-06-17,en,8110900,7165580,interpolates,,,,,,7165580,Knife Talk,Drake (Ft. 21 Savage & Project Pat),2021-09-03,en
95.0,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),Drake,2022-06-17,8110900,Jimmy Cooks,Drake,2022-06-17,en,8110900,6727501,interpolates,,,,,,6727501,Number 2,KSI (Ft. 21 Savage & Future),2021-07-16,
97.0,spotify:track:1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,2008-06-19,49192,Viva La Vida,Coldplay,2008-05-25,en,49192,2215112,interpolates,,,,,,2215112,If I Could Fly,Joe Satriani,2004-04-13,
102.0,spotify:track:4ilZV1WNjL7IxwE81OnaRY,Gatita,Bellakath,2022-10-05,8547983,Gatita,Bellakath,2022-10-05,es,8547983,3570255,samples,,,,,,3570255,Calypso,Round Table Knights,2010-03-18,
104.0,spotify:track:1oFAF1hdPOickyHgbuRjyX,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,The Weeknd,2020-03-20,4694697,Save Your Tears,The Weeknd,2020-03-20,en,4694697,4759464,interpolates,,,,,,4759464,Circles,Post Malone,2019-08-30,en
