from_genius_id,to_genius_id,type
8463823,7214551,interpolates
9490250,732617,interpolates
9368450,7272582,samples
9368450,500858,interpolates
9478999,975275,samples
8879877,880,samples
7032576,57225,interpolates
3452993,4999,samples
8504327,573890,samples
9168862,574916,interpolates
9438056,9683168,interpolates
9028858,185439,samples
8250397,1465572,interpolates
9468156,486265,interpolates
9468156,9388645,interpolates
9511716,32608,interpolates
9519499,83863,interpolates
9519499,199980,interpolates
8931329,233,samples
9503017,3844682,interpolates
9347157,344934,interpolates
9347157,1113,interpolates
9386675,2391119,samples
9386675,14266,interpolates
9521954,655,interpolates
9521954,4348897,interpolates
9521954,5865445,interpolates
9543384,57566,samples
8469517,7130972,interpolates
9426205,9435642,samples
9517911,314,samples
9231526,1650,samples
9567799,8808711,samples
6590396,9242101,interpolates
9436163,9307889,interpolates
9141060,691321,samples
9141060,9168552,interpolates
9439936,9424111,interpolates
7735771,7733,interpolates
9386672,6984565,interpolates
9386672,5225,interpolates
9592342,104426,samples
9592342,104423,samples
9121594,2229746,samples
9121594,2429153,samples
9592352,9594476,samples
9592352,1221794,samples
9592352,8726658,samples
9592352,4385,samples
9592352,2173751,samples
9592352,10289200,interpolates
9592328,9627880,interpolates
9592328,8524070,interpolates
9592354,895415,interpolates
9592354,7945040,interpolates
9592354,3807759,interpolates
9592351,9604596,samples
9592360,73573,samples
9592360,3916993,interpolates
9592360,9592364,interpolates
9592360,7451924,interpolates
9592360,10019202,interpolates
9589444,9611911,samples
9589444,9412046,interpolates
9589444,368,interpolates
9589444,3751648,interpolates
9589444,3824736,interpolates
9589444,7165548,interpolates
9589444,4864687,interpolates
9589444,2890553,interpolates
9589444,218330,interpolates
9160891,133137,samples
9160891,8932297,interpolates
9592336,8524051,interpolates
9592377,4815,samples
9592377,3807759,interpolates
9592377,235765,interpolates
7488538,2545,samples
9443983,8814250,interpolates
9472442,3341736,interpolates
9459783,8932291,interpolates
9459783,8937214,interpolates
9588022,5947,samples
9588022,1221460,samples
9588022,9589020,samples
9593544,170534,interpolates
9593544,515319,interpolates
9505685,3464808,samples
9324029,20364,samples
9324029,197756,samples
9346248,9202317,interpolates
9274968,9643521,interpolates
9247589,420298,interpolates
9247589,556421,interpolates
9614125,440,samples
9325278,5027214,interpolates
7471808,7129752,samples
9662570,10808921,samples
8144483,1198,samples
9304170,1050623,interpolates
9279971,1109956,interpolates
9614083,1263292,interpolates
9614092,189590,samples
9614092,7760295,interpolates
9134636,116531,interpolates
9563126,9357430,interpolates
7457673,523348,samples
7457673,2836161,interpolates
7457673,9653007,interpolates
6688265,551092,interpolates
9326358,9283569,interpolates
9616137,615,samples
9616137,97581,samples
9616137,102763,samples
9640949,647002,samples
9559569,4862771,interpolates
9614064,8881606,interpolates
9614069,4178982,interpolates
9614068,1511968,samples
9614068,6850483,interpolates
4709155,955311,samples
9388312,64764,samples
9666483,107908,samples
9666483,106572,samples
9666483,1577,samples
6724774,162955,interpolates
6724774,1355,interpolates
6724774,892805,interpolates
9637946,1640738,interpolates
9262653,8705576,samples
9538340,2250310,samples
8125194,55882,samples
9629725,9695404,samples
9699307,4254094,samples
9110676,1443588,samples
9614081,5732274,interpolates
9436255,2443,samples
9662517,4075,samples
9664481,9348951,samples
9664481,9468156,interpolates
9664481,3820536,interpolates
9664481,273992,interpolates
9664481,4420463,interpolates
9477858,971702,interpolates
9643108,4046,samples
8050047,4406510,samples
9520134,6016031,interpolates
9686246,3629048,interpolates
9720821,7303303,interpolates
9629686,1517,samples
7399236,971702,samples
9210435,368567,samples
8895650,1818291,interpolates
9666114,49069,interpolates
9666114,38125,interpolates
9286941,414206,samples
9405305,428,samples
9692463,7967767,samples
8996826,349092,samples
8996826,6703177,interpolates
9592357,9594487,samples
9592357,2386802,interpolates
9592357,17442,interpolates
9592357,6808745,interpolates
9592357,67272,interpolates
9592357,8271095,interpolates
9592357,8110884,interpolates
9557336,1786170,interpolates
9629688,1461637,samples
8931285,82208,samples
9614098,8598733,interpolates
9761805,8454974,samples
9250802,80416,interpolates
9559244,91171,interpolates
9681939,1198,samples
9681939,7010510,interpolates
9788218,1169265,samples
9788218,452,interpolates
9762448,5965691,samples
9762326,9772250,samples
7284373,7047261,interpolates
623112,1860079,interpolates
9784311,922,interpolates
9788142,54845,samples
9721216,481702,samples
9777521,395227,samples
9629690,1132,interpolates
9756421,7607471,samples
9756421,8271853,interpolates
9614630,210627,samples
9810443,712094,interpolates
9715704,4123112,samples
8394175,8085325,interpolates
9567603,1412050,samples
9567603,2917386,interpolates
9567603,5123075,interpolates
4611276,2922345,interpolates
9827691,1689375,samples
9765886,5648502,samples
9765886,45394,samples
9837359,7497288,interpolates
9837364,4664135,samples
9837377,6155854,interpolates
9837370,45341,samples
9837370,111004,samples
9837371,7306981,interpolates
9837366,23931,samples
9837379,3969800,interpolates
9279970,844568,samples
7533793,10206080,samples
7533793,6190117,samples
7533793,6889602,samples
233,444352,interpolates
233,42951,interpolates
233,2951,interpolates
7817111,2204,samples
9255477,8173139,samples
9255477,52863,interpolates
9255477,8714746,interpolates
8416396,774585,interpolates
9838252,510381,interpolates
9775156,9623712,samples
9837354,81235,samples
89794,6634556,interpolates
8890591,151378,interpolates
9344810,6038154,samples
9841765,4034877,interpolates
9833900,1796041,interpolates
8932291,51831,interpolates
8932291,8270928,interpolates
8932291,6639049,interpolates
8932291,99094,interpolates
8932291,140967,interpolates
8932291,10807308,interpolates
9812048,1980355,samples
206238,1673415,samples
206238,1965327,samples
8598733,1733000,interpolates
9614082,7982049,samples
9614082,924682,samples
9614082,7620372,samples
9650654,1822198,interpolates
536423,1989107,samples
8779342,119576,samples
9695930,912178,samples
9922972,1245056,samples
9903648,1684,interpolates
9934485,9940971,interpolates
9816398,67105,samples
9902233,5385815,samples
6521647,4364417,interpolates
1419027,164798,interpolates
9953704,35293,samples
9953704,423195,interpolates
3442412,100285,interpolates
9952034,35301,samples
9785375,6870731,interpolates
9953702,10179799,interpolates
9909027,88246,samples
9909027,342526,samples
9667310,4043555,interpolates
8601718,8694308,interpolates
8601718,3844,interpolates
5180439,3863336,samples
5180439,9023,interpolates
5180439,3947272,interpolates
5180439,4519154,interpolates
5180439,235729,interpolates
9834148,481734,samples
9477856,9512030,samples
9950116,503608,samples
9614105,1334718,samples
9614105,7421832,samples
9934497,1381246,samples
9934497,87596,samples
9333277,199794,interpolates
9918041,1019099,interpolates
9979322,698,samples
8701253,4608887,samples
8601823,1942973,samples
8601823,32426,samples
8601823,927,samples
8601823,7834096,interpolates
8601823,7554546,interpolates
9566300,986484,interpolates
9902223,9933762,samples
9902229,9910414,samples
9902229,2108515,interpolates
9236197,1115584,samples
8852674,2280344,samples
122542,1548,samples
6702662,1342773,samples
9909032,2176895,interpolates
9909032,4484286,interpolates
9940251,9839508,interpolates
9610573,5175146,samples
9982395,56783,interpolates
7451924,4476141,samples
7451924,7154576,interpolates
7451924,9640825,interpolates
9852790,8897526,samples
1968851,77603,samples
9645178,1180599,samples
9834048,8022251,samples
9834048,8818386,samples
4777439,4146972,interpolates
4777439,962525,interpolates
724006,1995567,samples
10078118,1069967,samples
10078118,10099294,interpolates
10044779,8870045,samples
10044779,11138350,interpolates
10044779,10657884,interpolates
10099184,11720,samples
9760740,45351,samples
9760740,70202,samples
9760740,10395061,interpolates
10033357,1041960,interpolates
10305956,1955966,samples
10305956,9819804,interpolates
10033395,7420714,interpolates
9902217,2465319,samples
9902217,2797523,samples
9902218,1721481,samples
4814021,2182822,interpolates
9683662,8625396,interpolates
9885015,6112,samples
9885015,11205551,samples
9885015,9839137,interpolates
9885015,10737498,interpolates
10997717,4490639,samples
10997717,2832953,samples
10997717,4601207,samples
10997717,2425227,interpolates
10997717,9995393,interpolates
10997717,10598206,interpolates
9637685,9641519,interpolates
10082725,10599275,samples
9902224,2054573,samples
9902224,206238,interpolates
9588765,795987,samples
9588765,374489,samples
9588765,1407395,interpolates
9440806,7645707,samples
4694697,4759464,interpolates
4694697,1542695,interpolates
10039844,118314,interpolates
9405327,6243599,samples
9405327,4706840,samples
9405327,3756523,samples
9405327,6648411,samples
10059842,233,samples
10059842,102946,interpolates
2851948,103667,samples
2851948,3134211,interpolates
2851948,3039459,interpolates
2851948,2475074,interpolates
9968557,3189319,interpolates
7936400,42480,samples
9581842,384645,interpolates
9810442,10396372,samples
10114108,442151,interpolates
5272,787799,interpolates
105187,810072,samples
105187,10607694,samples
10109401,59372,interpolates
10087409,87337,samples
9888882,189590,interpolates
9913061,92464,interpolates
9139208,6534451,samples
5428491,954,samples
5428491,329028,samples
5428491,2999370,interpolates
5428491,3047132,interpolates
5428491,7148805,interpolates
5428491,725151,interpolates
8639182,158737,interpolates
9788013,8805872,samples
10130619,10599262,samples
10112701,144559,interpolates
10130505,2260666,samples
9990963,69358,interpolates
10022542,2286450,samples
9990966,254580,samples
10068514,52466,samples
10068514,81011,samples
9592330,9601262,samples
9592330,10775944,samples
9592330,66535,interpolates
9592330,441081,interpolates
9592330,4720076,interpolates
9592330,5111026,interpolates
9592330,9204399,interpolates
9592330,9368456,interpolates
2290794,5016533,interpolates
2290794,4628208,interpolates
32167,1628822,samples
9368442,7272582,interpolates
9368442,236889,interpolates
8934988,3420092,interpolates
10105323,1796041,interpolates
10149765,9920431,interpolates
10183832,476934,samples
10111538,615,samples
10111538,888609,interpolates
9872607,3046517,interpolates
9718207,7683192,samples
10071950,2853503,samples
10071950,9944774,interpolates
10071950,9944928,interpolates
10071950,10035944,interpolates
10129646,47908,samples
56642,8398162,interpolates
526,775350,samples
9836885,500342,interpolates
3460606,3288894,interpolates
9254531,58874,samples
9733659,6915124,samples
10106632,2204,samples
9614104,663581,samples
10128861,4115187,interpolates
2287872,88712,samples
7096046,390571,samples
7096046,390442,samples
7096046,390693,samples
7096046,1059,samples
9057767,211413,samples
9057767,9592357,interpolates
7960275,27421,samples
9354650,5281715,samples
10132073,3896922,samples
9783016,8540116,samples
10181364,1854936,samples
9933711,8463823,interpolates
10212094,2445888,samples
10212094,123266,interpolates
10211875,50468,interpolates
10094678,41829,interpolates
9103956,9396696,interpolates
9927654,307073,samples
10086259,73037,interpolates
10211135,9147213,interpolates
10190422,4999,samples
10190422,10599274,samples
10193939,10599257,samples
10190456,10599266,samples
10190457,10599267,samples
10190424,10599281,samples
10190408,10599268,samples
10190425,10599282,samples
9603637,8649177,interpolates
10212156,6282,interpolates
10212156,10324186,interpolates
7926443,1534,samples
9574710,1867,samples
7967959,2081328,samples
7967959,7125261,interpolates
9614090,559442,samples
9149479,159257,samples
8145919,2121050,interpolates
10216865,1515,samples
10216865,35844,samples
10216865,35446,samples
10216865,606,samples
10216865,4490639,samples
10216865,1703,samples
10124306,286912,samples
10124306,357870,interpolates
9863804,9863797,samples
10282422,439897,samples
9662864,6512660,samples
9934491,10333852,samples
9934491,4155494,interpolates
9969213,735456,interpolates
9236573,572,samples
8969996,796812,interpolates
10191318,293,samples
10191318,59476,interpolates
10191318,9839508,interpolates
10191318,3348282,interpolates
10191318,6303410,interpolates
2836161,2401646,interpolates
10163788,1480065,interpolates
9834149,9478421,samples
9902230,306987,samples
10098651,850893,interpolates
10284972,3343959,interpolates
9105621,7802828,interpolates
8934696,1728378,interpolates
6030243,6653744,samples
6030243,1969234,samples
6030243,3262675,interpolates
10025849,5973929,interpolates
10193532,3138854,interpolates
10193532,73573,interpolates
10220448,4055677,samples
10296695,6260160,samples
10296681,4782863,samples
10198994,9057767,interpolates
10236068,579100,samples
3941090,941467,samples
10190438,10599264,samples
10190367,10599278,samples
10152946,857360,samples
6123667,1932032,interpolates
9630112,3613688,interpolates
73757,34780,samples
10298545,3645848,interpolates
10317261,362213,interpolates
9849050,716018,samples
9710606,452,interpolates
10190409,10599272,samples
10201625,4624090,samples
10201625,4534241,interpolates
9496892,5660654,interpolates
8255797,6241011,interpolates
10356318,8292362,samples
10356318,9004512,samples
10356318,10277795,interpolates
10356318,90475,interpolates
10356318,9592330,interpolates
10356318,10270965,interpolates
10356318,10278955,interpolates
10356318,10271131,interpolates
10356318,701372,interpolates
10356318,10125497,interpolates
10356318,3047147,interpolates
10356318,10356382,interpolates
10277795,156,samples
10277795,2408611,interpolates
10277795,10125497,interpolates
10277795,10245204,interpolates
10277795,6310,interpolates
10277795,7995412,interpolates
10277795,33313,interpolates
10059071,4555245,interpolates
10356410,10615053,samples
10356410,10482108,samples
10356410,3751648,interpolates
10356410,10301035,interpolates
10356410,7995415,interpolates
10356410,3047132,interpolates
10356410,10277795,interpolates
10356410,10125497,interpolates
10356410,10353079,interpolates
10356410,772,interpolates
10356410,3840,interpolates
9656665,2213004,interpolates
9902219,260535,samples
7771503,28580,samples
10199103,3116678,samples
10190291,9998,samples
10190291,1407395,interpolates
2450584,2450753,samples
2450584,801335,interpolates
2450584,107606,interpolates
2450584,2186616,interpolates
2450584,2263723,interpolates
2450584,2398213,interpolates
10341021,1408971,samples
10341021,20233,samples
10341021,3032843,interpolates
10341021,1083,interpolates
10341021,10301035,interpolates
10341021,10125497,interpolates
10341021,75177,interpolates
10341021,10278955,interpolates
10341021,5322709,interpolates
10341021,66747,interpolates
10341021,217266,interpolates
10341021,7539065,interpolates
10341021,3033628,interpolates
10341021,3433244,interpolates
10366697,9478421,samples
10366697,243,interpolates
10024563,10408663,interpolates
9792917,1439763,interpolates
10131142,4646101,samples
10317156,9424276,samples
10281978,1689455,samples
10407740,5189,samples
9334281,1430959,samples
9550353,960025,samples
10289861,2396987,interpolates
10258272,4589199,samples
10258272,1334718,samples
10258272,4175,samples
10258272,1861425,samples
10258272,99880,samples
10258272,6401760,samples
10387486,8248132,interpolates
9952945,1612,samples
10006668,82391,samples
10341539,162955,interpolates
10341539,3359190,interpolates
4423776,7756842,samples
4423776,820371,interpolates
10488492,1984881,interpolates
10401375,2179600,samples
10237511,369536,samples
8022257,244845,interpolates
10179080,116531,interpolates
10109093,2588,interpolates
10400901,10400902,interpolates
10400901,10274887,interpolates
10256759,6151884,interpolates
10256759,10257642,interpolates
10256759,10257605,interpolates
9856171,10265242,interpolates
