spotifyId,trackName,artistName,releaseDate,geniusId,geniusTrackName,geniusArtistName,geniusReleaseDate,trackLanguage
spotify:track:2K6zYefNgbcRYZCxGQmINV,ERKENNST DU MICH NOCH,NGEE,2023-03-03,8880136,ERKENNST DU MICH NOCH,NGEE,2023-03-03,de
spotify:track:4HzI51MtylzWfyHt5M9dAX,Zug,Ansu,2023-03-03,8876828,Zug,"Ansu, $OHO BANI & Cato",2023-03-03,de
spotify:track:0pfP5XgWsu3uDB6NygGBEq,Push Up - Original Mix,Creeds,2022-12-21,8829040,Push Up,Creeds,2022-12-21,en
spotify:track:5RbOXQRV8KT7dfRmlTBI8d,Jamaika,TANO77,2023-03-03,8881158,Jamaika,TANO77 & O.G.,2023-03-03,de
spotify:track:1uEQkaqiykbvR91UAHYGpk,Ausgehen,AnnenMayKantereit,2023-03-03,5239203,Ausgehen,AnnenMayKantereit,2020-02-07,de
spotify:track:73DblRD10lRfbTM2NzSiTC,PRIVACY,Ufo361,2023-03-03,8669416,PRIVACY,Ufo361,2023-03-03,de
spotify:track:6bimAQjh6FP1vZOXHrvs4j,Katharina,AnnenMayKantereit,2023-03-03,8504779,Katharina,AnnenMayKantereit,2023-03-03,de
spotify:track:3Xmup3IXYvdgjXz8zgoRlB,Netflix & Chill,Eddin,2023-02-24,8855943,Netflix & Chill,Eddin,2023-02-24,de
spotify:track:1lSib2LzgdhQA77WpoPgHl,TOKYO,Ufo361,2023-03-03,8009927,TOKYO,"Ufo361, Data Luv & Lil Keed",2023-03-03,de
spotify:track:1fuVhmutAEfV4exgyyFnIJ,Du Liebst Mich Auch PT. II (feat. Florentina),ARY,2023-03-03,8879888,Du Liebst Mich Auch PT. II,ARY (DEU) & Florentina,2023-03-03,de
spotify:track:2bKqHx6BrX9IJtP3DaDaIs,Sag was du vorhast,Jamule,2023-04-05,8832304,Sag was du vorhast,Jamule,2023-02-17,de
spotify:track:4sx6NRwL6Ol3V6m9exwGlQ,LOVE AGAIN,The Kid LAROI,2023-01-27,8327546,LOVE AGAIN,The Kid LAROI,2023-01-27,en
spotify:track:1jZMXi8olaFtO8Iwz6kj5K,#11,HoodBlaq,2023-02-22,8853564,#11,HoodBlaq,2023-02-22,en
spotify:track:5DC2vDvSnoTlzc5SZT61P2,Erdbeerkuchen,AnnenMayKantereit,2023-03-03,8504781,Erdbeerkuchen,AnnenMayKantereit,2023-03-03,de
spotify:track:6BXFHQXgArocFyz2nWkSFn,Lights out,Nina Chuba,2023-02-24,8543560,Lights out,Nina Chuba,2023-02-24,de
spotify:track:7G4wi7IAadEj3pzQeR923K,Spannung,MADE,2022-10-07,8439013,Spannung,Made & Dorian,2022-10-06,de
spotify:track:1Eq1apVhfTcX1aVsjuoGHJ,Heute Abend wird es regnen,AnnenMayKantereit,2023-03-03,8504782,Heute Abend wird es regnen,AnnenMayKantereit,2023-03-03,de
spotify:track:5eoxxdN8CFARzyE9HDQYnv,Verliebt sein,AnnenMayKantereit,2023-03-03,8504780,Verliebt sein,AnnenMayKantereit,2023-03-03,de
spotify:track:3vRnbhJecNWApF2aCfvLCj,TRÄNE,BOJAN,2023-03-03,8880963,TRÄNE,BOJAN,2023-03-03,de
spotify:track:5bsLedwMqXtLB7H0UvFR76,NEW YORK,Rondodasosa,2023-03-10,8877289,NEW YORK,Rondodasosa,2023-03-10,it
spotify:track:3LQvmsjDPQH5jpqRRx5fAe,ORIGAMI ALL'ALBA - MATTEO & LOLLOFLOW,Matteo Paolillo,2023-02-24,8860407,ORIGAMI ALL’ALBA,Matteo Paolillo - Icaro & Lolloflow,2023-02-24,it
spotify:track:6bJxP5gopwdVifrLIu17ox,Lasciami,Modà,2023-02-10,8649350,Lasciami,Modà,2023-02-08,it
spotify:track:4cfwlJOM85bCQ8drN9iY1r,Need U 2Nite (feat. Massimo Pericolo),Guè,2023-01-13,8693044,Need U 2Nite,Guè (Ft. Massimo Pericolo),2023-01-13,en
spotify:track:6QjpEvmiZIM9qgTQhg5dzi,"Giorni Contati (con Paky, Noyz Narcos, Geolier & Shiva)",Night Skinny,2022-10-04,8360285,Giorni Contati,"Night Skinny (Ft. Geolier, Noyz Narcos & Paky)",2022-09-16,it
spotify:track:5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,2022-05-26,7993307,La Bachata,Manuel Turizo,2022-05-26,es
spotify:track:2ypbIXW3a7fsLdLtLpZWDZ,Si Me Sobrara el Tiempo,Duki,2023-02-16,8824163,Si Me Sobrara el Tiempo,Duki,2023-02-16,es
spotify:track:1r9Lbgiags0gJAS15Ygmc5,Gold Diggers,Natos y Waor,2023-02-23,8858574,Gold Diggers,Natos y Waor & Al Safir,2023-02-23,es
spotify:track:7eTv2OTr3aY5iKtFdBusoA,BESTIES,KAROL G,2023-02-24,8814245,BESTIES,KAROL G,2023-02-24,es
spotify:track:21ocGfx68UnoPH89sXkhzu,Mbappe - Remix,Eladio Carrion,2023-03-09,8756228,Mbappé (Remix),Eladio Carrión & Future,2023-03-09,es
spotify:track:6WU2eYUtOL91iROonROPyh,Real G,Bad Gyal,2022-12-02,8596739,Real G,Bad Gyal & Quevedo,2022-12-02,es
spotify:track:5nBHB9JZjBS087RSDgIEon,Big Booty,Hozwal,2023-02-02,8783598,Big Booty,Hozwal & Young Miko,2023-02-02,pl
spotify:track:4YBgxy0sK4ykesIYuLldxz,ME FALTA ALGO,Quevedo,2023-01-20,8719684,ME FALTA ALGO,Quevedo,2023-01-20,es
spotify:track:4SMeOd5Fb7Rp92ODZTWCHV,MUÑECA,Quevedo,2023-01-20,8719680,MUÑECA,Quevedo & JC Reyes,2023-01-20,es
spotify:track:4bycD60yZgR6anIBtmU8UH,MAÑANA SERÁ BONITO,KAROL G,2023-02-24,8814273,MAÑANA SERA BONITO,KAROL G & Carla Morrison,2023-02-24,es
spotify:track:1j4yhkxSCEDmiLVKjpYKWq,LA HORA Y EL DÍA,Daddy Yankee,2023-02-16,8834173,LA HORA Y EL DÍA,"Daddy Yankee, Justin Quiles & Dalex",2023-02-16,es
spotify:track:1HNcDOIGo9CE4sZoK5mhCq,Muchoperro,Juseph,2022-09-02,8279635,Muchoperro,"Wiso Rivera, Cruz Cafuné & Juseph",2022-09-02,es
spotify:track:2mzDRrBn6M6rWX4bGzd1uQ,Feliz,Chimbala,2022-05-27,8294618,Feliz,Chimbala,2022-05-27,
spotify:track:4srcMdbm2qzVG98tJajHxp,Pantysito,Alejo,2022-03-18,7677543,Pantysito,"Alejo, Feid & ROBI",2022-03-17,pl
spotify:track:24PUqZJcXUjByIybGftoHZ,LUCES AZULES,Quevedo,2023-01-20,8719682,LUCES AZULES,Quevedo,2023-01-20,es
spotify:track:3PpWCS95gDUDRPko3u1MZ9,Prohibidox,Feid,2022-09-14,7111825,Prohibidox,Feid,2022-09-14,es
spotify:track:2bbwjxA68m9PHZFWgF1fze,GIVENCHY,Duki,2022-07-20,7216630,GIVENCHY,Duki,2022-07-20,es
spotify:track:5UPpgOKi0UQMMMSzWWgJJe,AMBER,Zola,2022-11-18,8550797,AMBER,Zola,2022-11-18,en
spotify:track:2nD4X3sHH2kZ1gWraTpe7u,TOUTE LA JOURNÉE (feat. Tiakola),Zola,2023-02-03,8778667,TOUTE LA JOURNÉE,Zola (Ft. Tiakola),2023-02-03,fr
spotify:track:3mXiiDURmE5ieq3P6os0AT,Le Moine,Maes,2023-03-09,8535013,Le Moine,Maes,2023-03-10,fr
spotify:track:70IdN2Bm2IXU7xReA44AOD,Frank Lucas,Maes,2023-03-09,8807606,Frank Lucas,Maes,2023-03-10,fr
spotify:track:5ZDWCmJWZIGeNQfXmXbD9z,Quand T’es Là,Maes,2023-03-09,8807608,Quand T’es Là,Maes,2023-03-10,fr
spotify:track:7rIt7p95T9y9ndjip9F83X,Araï,Maes,2023-03-09,8807614,Arai,Maes,2023-03-10,fr
spotify:track:0074XGa4ytWx2s1o48jO3y,Boîte à Gants,Maes,2023-03-09,8807626,Boîte à gants,Maes (Ft. Kayna Samet),2023-03-10,fr
spotify:track:3pjkpMQLqDjNEkvR5hPl8K,Rif,Maes,2023-03-09,8807612,Rif,Maes,2023-03-10,fr
spotify:track:5DnyGl5lPF3e5btCDCipV3,L'ancien,Werenoi,2023-03-09,8846212,L’ancien,Werenoi,2023-03-10,en
spotify:track:3rzJq3vzLEytmK85c4oO3H,Haut Et Bas,Maes,2023-03-09,8807616,Haut et bas,Maes,2023-03-10,fr
spotify:track:6z1eCgVeuhctsKxarsNwEw,Satan 2,Werenoi,2023-03-09,8846214,Satan 2,Werenoi,2023-03-10,fr
spotify:track:64rFW9zxAIeH6dLuiB56Tz,Atasanté Part.2,Hamza,2023-02-17,8779340,Atasanté Part.2,Hamza (Ft. Tiakola),2023-02-17,fr
